SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality,GHG_Type_Dominance_Score
SC0000001,FERRARI,Luxury vehicles,2024.0,AUG,ITALY,ECA,1,Automotive & Transportation,68.39,68.71,70.59,66.52,0.1102,1.939,0.625,2.143,173.32,0.494,0.573,2,1,BRCGS,9.0,10800.0,0.896,0.0,0.0,87.82,0.273,67.07,10762.28,1.029,0.936,45017.0,21117.0,4560.0,Moderate,1.0203703703703704e-05,0.896,0.0008333333333333334,0.5335,0.40063146666666666,37.58683333333334,67.70066666666666,70.755,16.718105297834896,0.10709426627793976,0.1667161097063607,0.455279371149352
SC0000002,TATA STEEL,Automotive steel,2025.0,AUG,INDIA,SA,1,Steel & Metallurgical,76.31,73.21,79.03,80.9,0.6107,2.335,0.452,5.483,634.02,0.633,0.298,2,1,BRCGS,23.0,20116.0,0.896,0.031,1.0,88.47,0.348,61.47,23482.34,1.18,0.663,51883.0,7338.0,2584.0,High,3.0358918274010738e-05,0.868224,0.0011433684629150924,0.4655,0.3557981952,49.592333333333336,72.45266666666666,76.475,21.663599359323186,0.517542372881356,0.5341749969771283,0.6629987908101572
SC0000003,AFRICAN MINERALS AND LOCAL COAL EXPORTERS (REGIONAL),Coal and mineral concentrates (project-level),2025.0,AUG,MOZAMBIQUE,SSA,2,Metals & Mining (Primary),61.42,63.66,67.0,57.79,0.091,0.103,0.462,2.494,122.27,0.545,0.522,1,1,BRCGS,1.0,21367.0,0.979,0.007,0.0,77.32,0.566,67.57,25788.61,1.075,0.898,56253.0,16106.0,2675.0,Moderate,4.258903917255581e-06,0.972147,4.6801141947863526e-05,0.5335000000000001,0.21895990929999998,48.56966666666666,50.185333333333325,74.82,38.94667245585555,0.08465116279069768,0.11786280325751243,0.8152991173586139
SC0000004,HYUNDAI MOBIS,Automotive parts and systems,2022.0,FEB,SOUTH KOREA,EAP,1,Automotive & Transportation,62.59,55.56,70.33,66.5,0.1401,1.725,0.109,4.235,214.87,0.853,0.317,3,1,ISO 9001; LEED,7.0,8474.0,0.808,0.077,0.0,75.9,0.304,71.64,256.3,0.881,0.989,90213.0,17379.0,3558.0,Moderate,1.6532924238848242e-05,0.7457840000000001,0.0008260561718196837,0.585,0.5342796576000001,29.811,77.554,71.245,17.11801166854679,0.1590238365493757,0.17900935773415205,0.6978085351787774
SC0000005,PTT GLOBAL CHEMICAL,Petrochemical raw materials,2023.0,OCT,THAILAND,EAP,1,Chemicals & Petrochemicals,75.95,70.76,78.32,80.29,0.0631,3.472,0.774,0.408,185.8,0.714,0.254,3,1,ISO 14001,29.0,10762.0,0.578,0.091,1.0,67.09,0.334,66.47,30439.5,1.176,1.646,7986.0,10409.0,1466.0,High,5.863222449358855e-06,0.5254019999999999,0.0026946664188812488,0.484,0.34923470939999995,27.634999999999994,85.57000000000001,75.84,8.598878432366831,0.053656462585034016,0.09707869114605515,0.7460249247958743
SC0000006,KLABIN S.A.,"Paperboard, kraft paper, packaging",2023.0,DEC,BRAZIL,LAC,1,Industrial Manufacturing & Construction,62.26,64.22,58.16,65.65,0.0782,0.956,1.048,1.71,124.9,1.0,0.356,2,0,RSPO,45.0,20275.0,0.955,0.0,2.0,76.33,0.693,68.25,14615.25,1.228,0.618,31359.0,13567.0,2190.0,Moderate,3.856966707768188e-06,0.955,0.0022194821208384712,0.6779999999999999,0.43452499999999994,41.91733333333334,64.02266666666667,72.94,49.36080081817054,0.06368078175895767,0.10383594720831088,0.4604200323101777
SC0000007,COFFEE COOPERATIVES (SME EXPORTERS),"Green coffee beans (arabica, robusta), roasted coffee",2024.0,MAY,GUATEMALA,LAC,2,Agriculture & Agribusiness,68.1,60.92,68.41,76.92,0.1033,0.58,0.729,3.324,120.99,0.471,0.307,2,0,BRCGS,8.0,7584.0,0.974,0.049,0.0,94.77,0.272,55.51,21226.86,1.094,0.916,17719.0,14697.0,4380.0,Moderate,1.36207805907173e-05,0.9262739999999999,0.0010548523206751054,0.389,0.3427831315999999,38.49083333333333,67.52666666666667,69.645,21.04202016023843,0.09442413162705666,0.14920154918510853,0.7174616878912151
SC0000008,TOTALENERGIES,"Refined fuels, petrochemicals",2022.0,JUL,FRANCE,ECA,1,"Oil, Gas & Refining",69.34,75.02,65.84,67.14,0.6929,2.59,1.344,2.361,487.79,0.216,0.397,3,1,BRCGS,39.0,10405.0,0.773,0.039,3.0,82.67,0.07,80.97,21610.48,1.089,1.263,34014.0,20066.0,3968.0,High,6.65929841422393e-05,0.742853,0.003748197981739548,0.3065,0.6014880740999999,44.3885,81.60400000000001,64.32,26.886750586704434,0.6362718089990818,0.5729302629340387,0.4114376489277204
SC0000009,TWIGA FOODS,"Fresh produce aggregation (fruits, vegetables)",2022.0,OCT,TANZANIA,SSA,2,Agriculture & Agribusiness,78.61,76.78,77.59,81.73,0.1451,2.938,0.646,3.064,213.24,0.688,0.345,1,1,LEED,39.0,14906.0,0.96,0.005,0.0,73.54,0.508,82.81,20532.03,0.893,0.968,21914.0,26226.0,2658.0,Moderate,9.734335167046827e-06,0.9551999999999999,0.0026163960821145847,0.5165,0.26366703999999996,41.175666666666665,60.499333333333325,78.95500000000001,9.00635812752875,0.16248600223964166,0.16888590398394504,0.46089049338146815
SC0000010,ABB GROUP,"Industrial robotics, control systems",2022.0,MAY,SWITZERLAND,ECA,1,Industrial Manufacturing & Construction,60.49,52.54,68.97,53.57,0.0945,1.388,1.433,3.413,132.59,0.509,0.0,2,1,FSSC 22000; BRCGS; SA8000,50.0,10.0,1.0,0.063,2.0,89.14,0.225,81.07,18975.95,1.35,0.814,14888.0,1.0,3925.0,Moderate,0.00945,0.937,5.0,0.2545,0.5064172666666666,44.77433333333334,62.96066666666667,68.985,17.469741516058406,0.06999999999999999,0.1398551201264792,0.5474815527751042
