SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0017997,Volkswagen Group,Automobiles and automotive components,2024,0,2,1,1,1,76.6,64.45,69.4,71.15,0.27,0.79,0.88,1.85,252.5,0.66,0.67,2,1,40,17,5803,1.0,0.012,0,78.7,0.28,93.3,25083.72,1.08,0.99,78178,78999,7618,Low
SC0017465,BYD Company,Electric vehicles,2024,3,1,0,1,1,86.1,81.2,90.5,65.8,0.161,1.08,1.48,1.75,453.7,0.53,0.41,2,1,8,31,33170,1.0,0.021,0,79.3,0.26,57.3,33588.01,1.3,1.03,70622,12750,5787,Low
SC0019789,ExxonMobil,"Crude oil, natural gas, refined fuels",2024,10,12,4,1,7,74.7,59.1,72.2,66.5,0.04,0.81,1.1,2.29,178.4,0.86,0.17,3,1,33,51,49910,1.0,0.01,1,81.6,0.65,74.7,48831.37,1.13,0.81,24473,27198,12617,Low
SC0015879,Intel Corporation,Microprocessors and chipsets,2023,1,12,4,1,4,75.3,77.7,84.3,85.2,0.05,0.3,0.64,0.59,152.7,0.44,0.23,0,0,41,74,24961,1.0,0.012,3,84.7,0.71,58.0,21376.34,0.66,1.38,34363,30618,8530,Low
SC0000689,Saudi Aramco,"Crude oil, refined fuels, LPG, naphtha, diesel",2019,7,7,3,1,7,67.3,41.5,53.0,77.3,0.255,3.18,2.44,2.56,66.3,0.73,0.64,2,1,33,45,10514,0.53,0.03,2,89.5,0.28,86.1,36049.11,0.74,0.95,37352,37197,14394,High
SC0002475,Toyota Motor Corporation,"Automotive components, hybrid vehicle batteries",2019,11,5,0,1,1,75.1,89.9,71.4,60.9,0.182,0.55,0.8,0.87,335.5,0.88,0.78,1,1,40,63,42795,1.0,0.014,2,68.3,0.38,64.8,49576.7,0.94,1.34,35427,35355,11458,Low
SC0000626,ExxonMobil,"Crude oil, natural gas, refined fuels",2019,7,12,4,1,7,60.0,81.8,88.5,91.8,0.145,0.36,0.81,0.59,141.6,0.73,0.13,2,0,16,87,43750,1.0,0.035,1,71.7,0.31,92.9,11443.58,0.57,1.32,50906,20765,13127,Low
SC0009080,Foxconn Technology Group,Electronic components and device assembly,2021,1,1,0,1,4,82.3,82.8,82.5,91.9,0.266,0.76,1.39,1.08,139.7,0.64,0.61,0,1,33,49,30244,0.74,0.084,2,93.1,0.33,59.2,48471.49,1.18,0.98,27893,39634,8320,High
SC0011544,Foxconn Technology Group,Electronic components and device assembly,2022,8,1,0,1,4,90.2,74.0,80.2,50.8,0.336,0.39,1.48,0.82,100.7,0.47,0.69,1,0,20,45,28072,0.79,0.045,0,84.1,0.43,73.8,42683.93,1.22,1.02,71162,12035,13175,Moderate
SC0008418,Musim Mas Group,"Refined palm oil, specialty fats, oleochemicals, biodiesel",2021,6,4,0,1,0,88.4,61.9,55.2,78.0,0.091,1.52,1.45,3.43,468.9,0.72,0.24,1,1,16,11,41976,0.84,0.073,4,81.8,0.72,60.4,24805.54,1.32,0.83,74043,53427,3426,High
SC0019898,Tata Steel,Automotive steel,2024,10,3,5,1,8,92.8,69.0,85.8,47.1,0.378,1.43,1.75,3.73,311.2,0.72,0.21,1,1,49,56,25418,0.9,0.036,3,67.0,0.55,59.4,13393.5,0.55,1.16,43808,31741,4594,High
SC0017817,SABIC,"Olefins, polyolefins, glycols, aromatics",2024,7,7,3,1,2,94.8,55.7,83.8,75.0,0.06,4.005,1.2,5.630000000000001,264.3,0.45,0.2,0,0,26,84,47207,0.61,0.045,1,84.9,0.65,79.7,45242.43,0.74,1.21,42041,71358,1238,High
