SC_ID,Year,Month,Country,Region,Industry_Sector,Supplier_Tier,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000001,2024.0,AUG,ITALY,ECA,Automotive & Transportation,1,68.39,68.71,70.59,66.52,0.1102,1.939,0.625,2.143,173.32,0.494,0.573,2,1,BRCGS,9.0,10800.0,0.896,0.0,0.0,87.82,0.273,67.07,10762.28,1.029,0.936,45017.0,21117.0,4560.0,Moderate
SC0000002,2025.0,AUG,INDIA,SA,Steel & Metallurgical,1,76.31,73.21,79.03,80.9,0.6107,2.335,0.452,5.483,634.02,0.633,0.298,2,1,BRCGS,23.0,20116.0,0.896,0.031,1.0,88.47,0.348,61.47,23482.34,1.18,0.663,51883.0,7338.0,2584.0,High
SC0000003,2025.0,AUG,MOZAMBIQUE,SSA,Metals & Mining (Primary),2,61.42,63.66,67.0,57.79,0.091,0.103,0.462,2.494,122.27,0.545,0.522,1,1,BRCGS,1.0,21367.0,0.979,0.007,0.0,77.32,0.566,67.57,25788.61,1.075,0.898,56253.0,16106.0,2675.0,Moderate
SC0000004,2022.0,FEB,SOUTH KOREA,EAP,Automotive & Transportation,1,62.59,55.56,70.33,66.5,0.1401,1.725,0.109,4.235,214.87,0.853,0.317,3,1,ISO 9001; LEED,7.0,8474.0,0.808,0.077,0.0,75.9,0.304,71.64,256.3,0.881,0.989,90213.0,17379.0,3558.0,Moderate
SC0000005,2023.0,OCT,THAILAND,EAP,Chemicals & Petrochemicals,1,75.95,70.76,78.32,80.29,0.0631,3.472,0.774,0.408,185.8,0.714,0.254,3,1,ISO 14001,29.0,10762.0,0.578,0.091,1.0,67.09,0.334,66.47,30439.5,1.176,1.646,7986.0,10409.0,1466.0,High
SC0000006,2023.0,DEC,BRAZIL,LAC,Industrial Manufacturing & Construction,1,62.26,64.22,58.16,65.65,0.0782,0.956,1.048,1.71,124.9,1.0,0.356,2,0,RSPO,45.0,20275.0,0.955,0.0,2.0,76.33,0.693,68.25,14615.25,1.228,0.618,31359.0,13567.0,2190.0,Moderate
SC0000007,2024.0,MAY,GUATEMALA,LAC,Agriculture & Agribusiness,2,68.1,60.92,68.41,76.92,0.1033,0.58,0.729,3.324,120.99,0.471,0.307,2,0,BRCGS,8.0,7584.0,0.974,0.049,0.0,94.77,0.272,55.51,21226.86,1.094,0.916,17719.0,14697.0,4380.0,Moderate
SC0000008,2022.0,JUL,FRANCE,ECA,"Oil, Gas & Refining",1,69.34,75.02,65.84,67.14,0.6929,2.59,1.344,2.361,487.79,0.216,0.397,3,1,BRCGS,39.0,10405.0,0.773,0.039,3.0,82.67,0.07,80.97,21610.48,1.089,1.263,34014.0,20066.0,3968.0,High
SC0000009,2022.0,OCT,TANZANIA,SSA,Agriculture & Agribusiness,2,78.61,76.78,77.59,81.73,0.1451,2.938,0.646,3.064,213.24,0.688,0.345,1,1,LEED,39.0,14906.0,0.96,0.005,0.0,73.54,0.508,82.81,20532.03,0.893,0.968,21914.0,26226.0,2658.0,Moderate
SC0000010,2022.0,MAY,SWITZERLAND,ECA,Industrial Manufacturing & Construction,1,60.49,52.54,68.97,53.57,0.0945,1.388,1.433,3.413,132.59,0.509,0.0,2,1,FSSC 22000; BRCGS; SA8000,50.0,10.0,1.0,0.063,2.0,89.14,0.225,81.07,18975.95,1.35,0.814,14888.0,1.0,3925.0,Moderate
SC0000011,2025.0,JUN,SOUTH AFRICA,SSA,Metals & Mining (Primary),1,65.42,65.17,70.53,62.25,0.0892,0.329,0.025,1.292,108.19,0.69,0.425,1,1,ISO 9001; ISO 14001,23.0,23548.0,0.94,0.054,1.0,77.54,0.206,74.79,15823.35,1.255,1.131,28824.0,18238.0,1579.0,High
SC0000012,2022.0,JAN,GERMANY,ECA,Industrial Manufacturing & Construction,1,59.32,63.33,53.62,56.73,0.0892,0.896,0.407,1.022,137.28,0.646,0.28,2,1,BRCGS,13.0,23943.0,0.93,0.023,3.0,92.81,0.172,72.48,23341.43,1.153,0.961,18542.0,18621.0,4062.0,High
SC0000013,2024.0,JUN,NORWAY,ECA,Energy & Utilities,1,62.04,66.09,55.12,66.3,0.2161,2.175,1.047,1.184,165.61,0.437,0.463,2,0,BRCGS,48.0,6795.0,0.769,0.082,1.0,89.94,0.141,67.24,33508.29,1.686,1.69,40972.0,11369.0,1.0,High
SC0000014,2023.0,OCT,AUSTRALIA,EAP,Australia,1,73.98,78.51,69.2,76.55,0.0658,3.344,1.358,3.181,273.28,0.39,0.0,2,1,BRCGS,34.0,23373.0,0.942,0.034,0.0,88.04,0.571,72.94,1151.99,1.054,1.288,40907.0,16329.0,3606.0,Moderate
SC0000015,2021.0,JUN,ZAMBIA,SSA,Metals & Mining (Primary),1,62.07,53.64,67.96,60.55,0.149,1.598,0.75,2.709,269.36,0.739,0.596,3,1,SA8000,36.0,13721.0,0.987,0.033,1.0,88.25,0.371,68.83,16159.12,0.449,0.837,36837.0,6228.0,4949.0,Moderate
SC0000016,2021.0,DEC,MOZAMBIQUE,SSA,Steel & Metallurgical,1,65.4,63.27,63.28,70.9,0.6596,5.763,4.096,7.254,422.46,0.637,0.952,2,0,ISO 9001,33.0,442.0,0.721,0.068,0.0,86.28,0.13,56.83,22254.6,0.765,0.767,46763.0,9661.0,1.0,High
SC0000017,2021.0,AUG,JAPAN,EAP,"Electronics, Semiconductors & Technology",1,66.06,70.78,67.32,63.36,0.052,1.243,0.995,3.705,126.0,0.357,0.14,2,1,RSPO,1.0,6594.0,0.817,0.012,0.0,80.73,0.182,77.96,12386.06,0.958,1.114,32773.0,16224.0,2133.0,Moderate
SC0000018,2019.0,MAY,SOUTH KOREA,EAP,Energy & Utilities,1,87.02,91.81,91.97,74.82,0.0082,0.871,0.933,1.952,76.69,0.516,0.239,3,1,BRCGS,10.0,10303.0,0.881,0.04,2.0,78.56,0.232,45.94,14960.38,0.836,1.046,71297.0,14368.0,5999.0,Moderate
SC0000019,2020.0,JAN,ETHIOPIA,SSA,"Oil, Gas & Refining",2,81.54,76.8,79.52,91.01,0.6652,3.546,3.065,5.143,4.89,0.617,0.635,2,0,RSPO,23.0,12188.0,0.719,0.016,0.0,94.42,0.179,83.56,19042.97,1.346,1.225,41986.0,15371.0,1953.0,High
SC0000020,2022.0,JAN,MEXICO,LAC,Metals & Mining (Primary),1,58.25,54.64,55.63,63.06,0.7559,5.265,2.705,5.523,402.69,0.397,0.0,1,1,BRCGS,27.0,12144.0,0.973,0.09,0.0,87.39,0.258,80.75,24660.71,0.821,1.272,15209.0,6915.0,5776.0,High
SC0000021,2023.0,NOV,SRI LANKA,SA,Pharmaceuticals & Healthcare,2,83.48,80.0,92.22,71.75,0.0763,1.611,1.252,2.245,176.07,0.6,0.265,3,1,ISO 14001,19.0,8593.0,0.926,0.041,1.0,70.61,0.523,65.16,14351.67,1.046,0.641,11588.0,8492.0,8161.0,Moderate
SC0000022,2020.0,JUL,INDIA,SA,Pharmaceuticals & Healthcare,1,68.82,68.29,64.25,73.83,0.1618,2.826,0.466,2.809,108.69,0.485,0.76,3,1,BRCGS,65.0,14508.0,0.605,0.089,0.0,79.65,0.295,68.31,15555.33,0.852,0.84,24799.0,3046.0,2864.0,Moderate
SC0000023,2023.0,JUL,PAKISTAN,MENA-AP,Fertilizers,1,57.9,55.67,57.29,56.08,0.4952,0.01,1.188,4.687,468.04,0.615,0.333,2,1,Fairtrade; ISO 9001,43.0,8352.0,0.903,0.0,3.0,83.21,0.429,74.51,31498.26,1.456,1.925,16668.0,15786.0,1.0,High
SC0000024,2025.0,JUN,SÃO TOMÉ AND PRÍNCIPE,SSA,Agriculture & Agribusiness,2,35.03,31.28,40.54,38.42,0.0869,1.335,0.116,2.408,245.81,0.481,0.162,2,0,BRCGS,33.0,12124.0,0.82,0.022,1.0,98.46,0.358,82.11,11782.33,1.052,0.968,18407.0,10326.0,5765.0,High
SC0000025,2021.0,FEB,INDIA,SA,Energy & Utilities,1,74.95,81.84,65.91,78.79,0.0531,2.309,0.737,2.752,158.31,0.535,0.127,2,1,Fairtrade; RSPO,28.0,9408.0,0.953,0.025,0.0,59.49,0.405,86.25,19472.46,0.772,0.956,20745.0,3958.0,3763.0,Moderate
SC0000026,2024.0,FEB,SENEGAL,SSA,Agriculture & Agribusiness,2,47.66,65.85,61.99,74.06,0.196,0.207,0.604,4.199,64.84,0.399,0.363,1,0,BRCGS,17.0,4833.0,0.321,0.071,2.0,77.83,0.256,25.38,50848.64,0.968,1.124,35778.0,14523.0,3129.0,High
SC0000027,2022.0,MAY,VENEZUELA,LAC,"Oil, Gas & Refining",1,52.82,54.85,48.7,51.59,0.5267,0.143,2.806,6.536,293.8,0.639,0.305,2,1,BRCGS,14.0,15518.0,0.611,0.075,1.0,89.77,0.327,63.61,8295.59,1.026,1.163,39326.0,17813.0,8110.0,High
SC0000028,2022.0,JUL,BRAZIL,LAC,Agriculture & Agribusiness,1,63.04,57.14,61.34,71.43,0.0376,0.642,0.643,2.868,276.85,0.674,0.742,1,1,BRCGS,34.0,16063.0,0.49,0.017,0.0,76.2,0.374,65.42,1771.94,0.973,0.914,26310.0,14941.0,853.0,Moderate
SC0000029,2020.0,NOV,TURKEY,ECA,"Consumer Goods, Retail & Logistics",2,66.92,58.95,81.1,56.72,0.171,0.555,1.317,2.814,313.42,0.595,0.554,3,1,BRCGS,36.0,13076.0,0.478,0.125,0.0,76.85,0.499,54.81,8934.29,1.035,0.897,29438.0,3668.0,2771.0,High
SC0000030,2022.0,FEB,INDIA,SA,Automotive & Transportation,1,67.4,66.13,73.1,67.7,0.0266,0.768,0.218,2.85,3.51,0.973,0.542,2,1,SA8000,13.0,7080.0,0.9,0.0,0.0,100.0,0.153,94.17,9709.18,1.094,1.13,29651.0,25127.0,4437.0,Moderate
SC0000031,2023.0,JAN,BRAZIL,LAC,Food & Beverage Processing,1,65.46,65.07,70.93,57.43,0.0656,0.335,0.648,1.03,209.74,0.655,0.469,3,0,Fairtrade,42.0,11939.0,0.909,0.039,0.0,88.27,0.476,83.86,15830.47,1.086,0.636,1.0,11908.0,6393.0,Moderate
SC0000032,2022.0,DEC,FRANCE,ECA,"Electronics, Semiconductors & Technology",1,76.48,86.51,82.16,62.91,0.211,1.472,1.158,2.737,15.03,0.56,0.214,2,1,ISO 9001,28.0,10.0,0.947,0.079,1.0,81.47,0.385,80.42,16796.11,0.974,1.093,42960.0,16466.0,3280.0,High
SC0000033,2022.0,NOV,PAKISTAN,SA,Fertilizers,1,69.24,80.04,87.79,80.32,0.1454,1.778,1.593,4.465,28.31,0.784,0.252,1,0,BRCGS,1.0,2104.0,0.342,0.059,2.0,73.84,0.497,41.16,47293.27,0.996,0.97,34762.0,19989.0,7228.0,High
SC0000034,2024.0,MAY,GERMANY,ECA,Chemicals & Petrochemicals,1,67.6,75.11,63.06,65.66,0.1389,2.398,1.135,2.367,140.16,0.634,0.448,3,1,ISO 14001,19.0,17871.0,0.838,0.105,0.0,87.0,0.607,60.36,18764.12,0.909,1.059,58304.0,4385.0,1660.0,Moderate
SC0000035,2022.0,FEB,BANGLADESH,SA,Pharmaceuticals & Healthcare,1,59.43,63.06,62.3,51.73,0.2156,0.01,1.209,1.754,173.35,0.781,0.202,2,0,RSPO; BRCGS; ISO 14001,36.0,2496.0,0.949,0.023,1.0,91.63,0.106,93.83,13639.62,1.003,1.088,27912.0,13201.0,3808.0,Moderate
SC0000036,2023.0,FEB,INDIA,SA,Steel & Metallurgical,1,62.35,61.88,61.45,61.81,0.3596,7.898,2.661,7.182,274.03,0.419,0.109,2,1,ISO 9001,12.0,13872.0,0.812,0.017,1.0,92.45,0.079,88.59,7621.83,1.427,1.149,23737.0,8021.0,5660.0,High
SC0000037,2021.0,JUL,KENYA,SSA,Agriculture & Agribusiness,1,65.26,64.53,65.48,66.66,0.0441,1.552,0.278,2.706,242.02,0.605,0.077,1,1,BRCGS,22.0,12086.0,0.958,0.016,1.0,69.51,0.385,80.28,17701.4,1.49,0.748,38401.0,3817.0,4556.0,Moderate
