Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
S0001446,C0001446,Foxconn,Printed Circuit Boards,India,Asia-Pacific,2,Electronics,73.76,70.82,64.13,86.33,0.1507,1332.53,0.79,0.19,3,1,39,17365,0.9,0.002,69.76,1.14,87.7,0.86,70.83,0,10919.0,Low
S0006606,C0006606,Foxconn,Electronic Components,Indonesia,Asia-Pacific,1,Electronics,71.39,54.41,78.77,81.0,0.8824,780.21,0.82,0.55,3,0,21,22855,0.82,0.048,53.09,0.84,85.82,0.82,74.1,2,4463.0,Moderate
S0001738,C0001738,Samsung Electronics,LCD Panels,Indonesia,Asia-Pacific,3,Electronics,51.66,40.46,54.84,59.69,0.206,536.47,0.52,0.5,2,1,8,7147,0.87,0.027,100.0,1.43,78.42,0.33,73.13,0,969.0,Moderate
S0001722,C0001722,Olam International,Cocoa,USA,North America,2,Agriculture,74.22,58.91,77.85,85.89,0.6547,1199.69,0.43,0.77,3,0,42,42110,0.85,0.026,84.14,1.3,83.58,0.57,65.2,1,10116.0,Low
S0009998,C0009998,Bunge Limited,Canola,China,Asia-Pacific,3,Agriculture,44.33,31.66,65.53,35.8,0.4792,519.54,0.46,0.12,1,1,13,18740,0.91,0.035,59.96,0.95,70.84,0.38,68.54,1,4508.0,Moderate
S0003848,C0003848,Sime Darby Plantation,Palm Kernel,Malaysia,Asia-Pacific,2,Agriculture,59.92,48.98,65.89,64.9,0.4682,1430.75,0.53,0.44,0,0,26,42669,0.91,0.031,82.82,0.75,71.99,0.17,54.09,0,4183.0,Moderate
S0006296,C0006296,Yara International,Fertilizers,China,Asia-Pacific,1,Chemicals,62.58,69.13,77.97,66.78,0.2118,1492.79,0.65,0.12,0,0,35,9744,0.98,0.028,27.85,0.95,76.2,0.14,76.44,1,10448.0,Low
S0009136,C0009136,Louis Dreyfus Company,Soybeans,USA,North America,3,Agriculture,75.08,73.46,70.54,81.23,0.0152,1009.55,0.63,0.43,2,0,40,40817,0.79,0.029,58.53,0.92,63.11,0.61,62.16,0,9188.0,Low
S0007108,C0007108,Yara International,Fertilizers,Japan,Asia-Pacific,2,Chemicals,63.49,54.25,57.24,78.98,0.4994,1331.54,0.47,0.36,0,0,43,8926,0.88,0.054,63.32,1.09,84.69,0.28,87.42,2,1628.0,Moderate
S0000003,C0000003,Yara International,Fertilizers,Japan,Asia-Pacific,2,Chemicals,55.79,65.24,55.47,46.66,0.5002,99.86,0.58,0.35,1,1,19,29939,0.92,0.011,91.84,2.04,92.9,0.25,78.86,0,9704.0,Moderate
S0008514,C0008514,Sime Darby Plantation,Palm Oil,USA,North America,3,Agriculture,52.36,71.09,66.99,20.020000000000003,0.4536,581.92,0.53,0.45,0,1,34,6994,0.91,0.016,68.29,0.84,66.29,0.49,62.65,1,6294.0,Moderate
S0003253,C0003253,Sime Darby Plantation,Palm Kernel,Malaysia,Asia-Pacific,1,Agriculture,61.16,46.96,61.88,74.64,0.4953,705.42,0.72,0.29,3,0,20,27252,0.9,0.016,63.48,0.95,49.27,0.81,79.84,0,3228.0,Moderate
S0001363,C0001363,Bunge Limited,Soybeans,China,Asia-Pacific,1,Agriculture,62.29,66.18,76.33,44.37,0.8184,780.21,0.53,0.24,2,1,18,46525,0.8,0.023,90.2,0.37,57.35,0.26,67.8,2,7852.0,Moderate
S0006682,C0006682,Wilmar International,Palm Oil,Malaysia,Asia-Pacific,2,Agriculture,63.6,44.36,79.55,66.89,0.9451,1489.37,0.41,0.3,0,0,12,14323,0.93,0.045,55.93,1.52,85.46,0.46,61.68,2,1129.0,Moderate
S0006647,C0006647,Sime Darby Plantation,Palm Kernel,Brazil,South America,3,Agriculture,62.16,57.11,64.49,64.87,0.9457,553.83,0.69,0.58,2,0,9,33750,0.9,0.018,51.51,0.49,69.0,0.36,51.62,0,5493.0,Moderate
S0008935,C0008935,Olam International,Cocoa,Malaysia,Asia-Pacific,1,Agriculture,57.32,45.21,62.42,64.33,0.5525,1262.8,0.62,0.45,0,0,11,23292,0.96,0.029,66.08,1.02,60.72,0.43,76.04,2,4577.0,Moderate
S0006815,C0006815,Sime Darby Plantation,Palm Kernel,China,Asia-Pacific,1,Agriculture,50.2,60.11,45.13,45.37,0.4129,1073.37,0.95,0.25,0,1,13,23816,0.93,0.03,71.72,0.98,67.59,0.41,61.67,0,10864.0,Moderate
S0002599,C0002599,Foxconn,Printed Circuit Boards,USA,North America,2,Electronics,40.0,30.79,53.93,35.28,0.229,559.34,0.52,0.73,1,1,46,36859,0.96,0.034,67.8,1.36,59.98,0.17,64.11,1,11443.0,Moderate
S0002643,C0002643,Bunge Limited,Sunflower Seeds,USA,North America,2,Agriculture,62.86,78.26,69.25,41.06,0.5824,729.72,0.91,0.49,1,0,16,48619,0.87,0.0,85.54,0.38,80.36,0.44,54.34,2,5845.0,Moderate
S0000545,C0000545,Wilmar International,Palm Oil,Indonesia,Asia-Pacific,3,Agriculture,62.24,75.82,50.8,60.09,0.9092,498.75,0.64,0.46,0,1,7,28582,0.99,0.007,67.55,0.64,84.06,0.54,64.07,0,4622.0,Moderate
S0004893,C0004893,Bunge Limited,Sunflower Seeds,China,Asia-Pacific,3,Agriculture,87.72500000000001,100.0,92.0,90.48,0.5682,145.27,0.57,0.46,1,0,45,30437,0.94,0.028,88.43,0.86,75.72,0.56,80.82,2,3220.0,Moderate
