SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000001,GAZPROM,Natural gas,2019,JAN,RUSSIA,ECA,1,"Oil, Gas & Refining",73.12,70.81,74.25,74.03,0.6432,5.369,1.249,1.015,120.33,0.945,0.72,2,1,Fairtrade,26,10329,0.937,0.0,0,85.84,0.216,85.3,12961.79,0.918,0.973,27705,15527,2377,Moderate
SC0000002,ONGC (OIL AND NATURAL GAS CORPORATION),Crude oil and natural gas,2019,JAN,INDIA,SA,1,"Oil, Gas & Refining",54.24,71.56,76.76,71.54,0.4605,3.16,1.179,12.892,457.89,0.754,0.0,1,0,None,31,5832,0.309,0.029,3,95.06,0.06,60.65,13392.63,1.03,0.811,31905,12770,1057,High
SC0000003,TVS MOTOR COMPANY,"Motorcycles, auto components",2019,JAN,INDIA,SA,1,Automotive & Transportation,81.85,85.27,70.23,83.98,0.1153,0.444,0.744,2.219,148.67,0.753,0.873,2,1,BRCGS,29,1659,0.874,0.06,0,72.95,0.347,49.56,845.46,0.939,0.908,55191,1248,3036,Moderate
SC0000004,AFGHAN FRUITS LTD./AFGHAN EXPORTERS (EXAMPLES),"Dried fruits (saffron, dried apricots, nuts)",2019,JAN,AFGHANISTAN,SA,2,Agriculture & Agribusiness,73.09,63.19,79.47,75.42,0.0888,0.761,0.536,2.14,156.39,0.803,0.23,3,1,LEED; FSSC 22000,20,900,0.921,0.119,0,84.15,0.237,82.1,8908.72,1.267,1.053,62522,5713,3620,Moderate
SC0000005,PDVSA (PETRÃ³LEOS DE VENEZUELA S.A.),Crude oil and petroleum products,2019,JAN,VENEZUELA,LAC,1,"Oil, Gas & Refining",23.24,42.54,51.2,54.13,0.7805,7.312,2.082,10.134,189.14,0.812,0.531,1,0,None,1,1846,0.223,0.06,1,88.9,0.454,60.56,13547.32,0.896,1.043,52362,16856,517,High
SC0000006,BYD COMPANY,Electric vehicles,2019,JAN,CHINA,EAP,1,Automotive & Transportation,76.53,73.46,77.05,80.22,0.1174,2.051,0.035,2.811,153.28,0.787,0.373,1,1,SA8000; LEED,9,12686,0.844,0.05,0,83.52,0.738,80.65,16891.75,1.438,0.842,28542,20321,5177,Moderate
SC0000007,AKZONOBEL LOCAL DISTRIBUTORS (INDIA/SOUTH ASIA),"Paints, coatings, industrial chemicals (distributor)",2019,JAN,INDIA,SA,2,Chemicals & Petrochemicals,45.81,84.66,83.04,86.11,0.1323,1.562,1.089,4.155,82.99,0.427,0.511,1,0,None,39,5031,0.239,0.057,0,86.84,0.043,24.86,29038.58,1.259,0.999,18615,10107,2700,High
SC0000008,SUZANO PAPEL E CELULOSE,Pulp (eucalyptus pulp) and paper,2019,JAN,BRAZIL,LAC,1,Industrial Manufacturing & Construction,54.18,55.97,50.27,55.13,0.106,0.686,0.944,1.949,230.92,0.501,0.637,3,0,ISO 14001,43,10,0.852,0.006,0,93.49,0.075,66.98,13125.12,0.995,1.341,22393,12334,2265,Moderate
SC0000009,CONOCOPHILLIPS,Crude oil and natural gas,2019,JAN,UNITED STATES,NA,1,"Oil, Gas & Refining",73.07,69.83,82.07,63.15,0.1507,4.546,1.333,8.865,553.76,0.585,0.233,2,1,BRCGS; RSPO,1,10,0.851,0.039,0,95.47,0.089,61.57,20810.68,1.017,1.125,33530,3083,3762,Moderate
SC0000010,ZIMPLATS,Platinum group metals (PGMs),2019,JAN,ZIMBABWE,SSA,1,Metals & Mining (Primary),53.18,46.95,55.26,54.56,0.1819,1.415,1.133,2.797,338.23,0.644,0.805,2,1,None,36,22534,0.933,0.052,0,98.16,0.365,74.5,5367.21,1.185,1.337,12192,8682,1658,Moderate
