Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification,Emission_to_Capacity_Ratio,Operational_Reliability_Index,LeadTime_Capacity_Ratio,Green_Efficiency_Score,Resilience_Score,Sustainability_Risk_Index,ESG_Compliance_Composite,Social_Responsibility_Score,Regional_Risk_Index,Emission_Per_Dollar,Emission_Votality
SYN_SUP_00001,SYN_COM_00001,Synthetic Supplier 1,Synthetic Commodity 1,China,Asia-Pacific,3,Food & Beverage,66.20981746,52.80200133,65.38422536,79.31000191,0.3379,1000.09,0.56,0.52,3,1,43,26503,0.803239171,0.017,65.79576841,0.79,71.75428984,0.66,72.9,1,8687,Low,1.27E-05,0.789584105,0.001622458,0.54,0.519512929,32.12406389,79.72589048,75.89211268,25.09000292,0.427721519,0.475013653
SYN_SUP_00002,SYN_COM_00002,Synthetic Supplier 2,Synthetic Commodity 2,usa,Asia-Pacific,2,Agriculture,67.33419417,64.00198496,72.11844013,68.41203748,0.925,1345.59,0.65,0.25,2,1,9,5046,0.941005401,0.011,54.25381797,0.62,62.99074873,0.83,84.63,1,8766,Moderate,0.000183314,0.930654341,0.001783591,0.45,0.336610341,52.19136537,67.06718317,82.65922006,75.27199015,1.491935484,0.887862777
SYN_SUP_00003,SYN_COM_00003,Synthetic Supplier 3,Synthetic Commodity 3,Brazil,South America,2,Electronics,63.06445364,54.83122171,67.09255099,52.84971787,0.8849,101.43,0.73,0.57,0,1,19,46890,0.932444896,0.04,81.34131425,1.15,50.75190185,0.41,74.11,1,9560,Moderate,1.89E-05,0.8951471,0.000405204,0.65,0,77.29994123,37.83867218,71.74627549,14.99576555,0.769478261,0.659158501
SYN_SUP_00004,SYN_COM_00004,Synthetic Supplier 4,Synthetic Commodity 4,Indonesia,Asia-Pacific,2,Agriculture,54.49283901,52.36063564,50.5817822,43.20224356,0.3947,1047.11,0.69,0.42,0,0,36,24519,0.841988896,0.032,88.42687921,0.39,61.83544131,0.85,79.39,1,2841,Moderate,1.61E-05,0.815045252,0.001468249,0.555,0,56.64500634,32.69570341,72.2908911,35.15983525,1.012051282,0.443811373
SYN_SUP_00005,SYN_COM_00005,Synthetic Supplier 5,Synthetic Commodity 5,Brazil,South America,2,Metals,57.68572162,59.81153562,38.44122441,65.57283346,0.5892,196.85,0.72,0.4,2,1,39,7090,0.935655995,0.027,84.18443715,1.23,64.60385451,0.47,60.52,2,1297,Moderate,8.31E-05,0.910393283,0.005500705,0.56,0.510939641,56.32333077,61.27809964,58.62061221,14.99576555,0.47902439,0.394461031
SYN_SUP_00006,SYN_COM_00006,Synthetic Supplier 6,Synthetic Commodity 6,japan,Asia-Pacific,3,Electronics,81.44324849,60.06073536,60.62324479,77.49882587,0.7076,826.52,0.73,0.63,3,1,5,29765,0.881973719,0.017,77.38844808,0.94,70.93352909,0.72,50.18,1,7195,Moderate,2.38E-05,0.866980166,0.000167983,0.68,0.670942496,38.28486303,88.8659491,74.7116224,100,0.752765957,0.648162375
SYN_SUP_00007,SYN_COM_00007,Synthetic Supplier 7,Synthetic Commodity 7,Brazil,North America,2,Agriculture,61.88159474,84.11016743,57.63740335,55.20726492,0.141,160.33,0.31,0.19,0,1,25,5767,0.843917577,0.047,78.95920579,1.4,76.19868972,0.22,76.96,0,1104,Moderate,2.44E-05,0.804253451,0.00433501,0.25,0,62.86644184,37.12895684,63.21870167,8.961393198,0.100714286,0.116818482
SYN_SUP_00008,SYN_COM_00008,Synthetic Supplier 8,Synthetic Commodity 8,Brazil,South America,3,Electronics,56.26623586,60.56220833,52.45557503,33.47771015,0.5468,919.66,0.49,0.68,0,1,14,21593,0.891183997,0.053,84.10623897,1.4,83.62711956,0.32,71.55,3,6746,Moderate,2.53E-05,0.843951245,0.000648358,0.585,0,74.97681745,33.75974152,62.62778752,14.99576555,0.390571429,0.562111715
SYN_SUP_00009,SYN_COM_00009,Synthetic Supplier 9,Synthetic Commodity 9,Japan,Asia-Pacific,3,Agriculture,37.365,28.86947306,49.11519768,51.63233013,0.4959,979.73,0.65,0.43,2,0,25,10804,0.84604623,0.009,83.81234687,0.87,55.78301452,0.56,70.84,3,11495,High,4.59E-05,0.838431814,0.002313958,0.54,0.46847292,55.70308333,49.08566667,65.75759884,27.64600311,0.57,0.601554399
SYN_SUP_00010,SYN_COM_00010,Synthetic Supplier 10,Synthetic Commodity 10,India,Asia-Pacific,3,Agriculture,81.67851217,76.89661281,78.75168658,73.59693764,0.5291,1000.86,0.92,0.82,3,1,14,30340,0.885000712,0.049,92.7532379,0.95,89.36743706,0.34,52.71,0,8525,Low,1.74E-05,0.841635677,0.000461437,0.87,0.780644342,33.89002074,89.0071073,76.17584329,9.261089909,0.556947368,0.587832662
