Supplier Name,Carbon Emissions (kg CO2e/year),Waste Management Score (1-10),Renewable Energy Usage (%),ISO 14001 Certified,Labour Compliance Score (1-10),Community Engagement Score (1-10),Workplace Safety Incidents (per year),Lead Time (days),Production Capacity (units/month),Quality Defect Rate (%),Innovation Score (1-10),Unit Cost (USD),Financial Stability Score (1-10),Cost Flexibility Score (1-10),Overall ESG Score (0-100),Green Innovation Index (1-10)
Supplier 1,5727.458485603977,8.074170833622757,67.57487802968379,Yes,4.14792556894845,2.680032752057851,2.0151975502936423,17.007341371326294,2914.5705783799835,0.37345444939757516,3.4352232581702125,36.30253052947697,1.3937758076198312,2.3490555329905467,14.354592060442423,3.088799626571175
Supplier 2,4796.230592267107,7.010717114990381,34.161570446994226,Yes,5.288580858956241,8.475328300377264,3.004102744631537,14.147952886205996,2156.6775361615896,3.5073474706696253,2.6439705827657427,,6.079091993486078,9.09425085787915,71.02365922892707,3.1680041579207634
Supplier 3,6008.574112595096,6.174537996858434,25.88518065774847,Yes,4.237118045749702,3.9173388953797112,1.98840526366132,7.033021716870648,3107.8507649986545,4.90542214756905,8.944192449870386,19.535036534112173,3.556107951252822,4.127240170157888,67.40446488344803,5.378887413451508
Supplier 4,7261.658281575552,4.336731307762384,50.35680044300693,Yes,6.75190807814589,3.787386989930235,1.008598330999398,15.01548624144141,1576.781832255925,,6.917448172406401,41.477037638056316,8.347265102606471,2.402932704803438,20.161797998168293,7.728671634913834
Supplier 5,4632.993564380386,9.47170805783348,70.11229182862509,No,5.317884695790786,3.0454837485143047,1.9785906103647584,14.13415950040274,3726.695237509023,0.8282789490740503,3.777526175564914,98.33928750449115,,1.1986919739885893,86.87101149460084,5.352929907933844
Supplier 6,4632.852930761269,,34.800228270568695,Yes,6.329501335768193,6.490075895815857,4.949466575720174,19.919941427411636,1843.3238518267308,0.6859696075004944,7.718192379760261,80.4513207593428,3.017140852796338,6.747462511522938,39.92319076067172,
Supplier 7,7368.058694048111,3.6339850975010233,,No,7.6537388599382,4.421664474020914,2.0427295584373497,5.185754617324213,4626.189255571335,1.597584680791421,8.251113528065122,55.455584247401596,7.544023231779444,6.635046863428012,28.663701445540728,9.603304324640224
Supplier 8,,3.733476049453645,4.13143408808979,,6.0419625858887835,7.754032436861157,2.973743122719248,15.974104879139851,4225.138134393883,0.5889003790140614,6.505649851302599,40.700012795851016,6.4147680082919685,4.1261240641682635,14.610753815329476,9.519098851905678
Supplier 9,4279.696911024043,5.421483508939714,40.89798675639808,Yes,6.354404479604501,2.9181291277469676,1.9915202064722648,8.888184860320777,3789.865228199157,3.4051770856890786,7.206587306048343,89.31556532326327,1.6544832291580873,1.551871412805783,26.10545373461906,8.110376472050412
Supplier 10,5787.665964206852,4.991492423129503,97.68116890681316,No,6.094919027273456,8.12287893617366,2.017134300989941,17.05998763143864,647.3080788928071,0.4106113191737814,4.380846840269799,58.46424004332626,8.908593937334391,4.710888407781997,1.507944215160291,9.808009127764649
