Supplier_ID,Supplier_Name,Country,Industry_Sector,ESG_Score,Carbon_Emission_tCO2e,Waste_Management_Score,Water_Usage_m3,Energy_Consumption_MWh,Compliance_Status,Certifications,Lead_Time_Days,Production_Capacity_Units,On_Time_Delivery_Rate,Defect_Rate_Percent,Financial_Stability_Index,Sustainability_Report_Submitted,GHG_Reduction_Target_Percent,Renewable_Energy_Use_Percent,Employee_Training_Hours,Supplier_Tier
S00001,Supplier_1,Vietnam,Electronics,59.54,3560.99,74.37,29352.75,8482.99,Non-Compliant,ISO 45001,8.91,394746.23,100.24,2.95,0.31,Yes,5.82,76.12,7.24,Tier 3
S00002,Supplier_2,Singapore,Textiles,50.22,1827.9,94.77,13078.16,2083.27,Non-Compliant,ISO 45001,25.63,489529.73,79.17,1.82,0.63,Yes,5.48,36.63,102.35,Tier 3
S00003,Supplier_3,Malaysia,FMCG,68.64,2520.98,72.57,20616.26,4285.08,Compliant,ISO 9001,25.05,449657.99,78.64,1.92,0.36,Yes,23.61,53.05,47.79,Tier 1
S00004,Supplier_4,China,Plastics,42.37,4625.48,86.97,26174.12,1177.22,Partially Compliant,ISO 9001,90.46,167942.8,77.17,4.31,0.64,Yes,34.38,38.81,182.5,Tier 3
S00005,Supplier_5,Malaysia,Automotive,84.09,3480.43,76.55,50464.47,3735.17,Partially Compliant,ISO 9001,75.91,112485.84,79.94,1.77,0.5,Yes,32.66,47.25,90.94,Tier 3
S00006,Supplier_6,Indonesia,Plastics,90.77,2031.39,62.88,91304.97,9734.94,Compliant,ISO 9001,51.05,5802.75,78.71,0.16,0.76,Yes,9.02,15.41,186.9,Tier 3
S00007,Supplier_7,China,Plastics,89.51,752.14,98.6,82310.01,6899.6,Non-Compliant,ISO 45001,7.69,81991.68,81.44,1.29,0.32,Yes,27.89,35.01,33.57,Tier 2
S00008,Supplier_8,Indonesia,Chemicals,64.39,1846.69,58.0,17026.68,1160.69,Partially Compliant,ISO 14001,62.37,479393.56,95.96,0.86,0.64,Yes,30.03,41.66,64.38,Tier 3
S00009,Supplier_9,India,Metals,39.33,3911.24,30.55,43249.14,3397.9,Compliant,ISO 14001,47.86,392380.47,73.3,2.73,0.8,No,28.17,6.78,109.18,Tier 2
S00010,Supplier_10,India,Electronics,44.45,2957.05,74.7,1941.14,6003.78,Non-Compliant,ISO 9001,55.71,217520.3,70.17,2.63,0.78,No,41.95,74.4,135.88,Tier 3
S00011,Supplier_11,,Textiles,47.39,1674.78,95.98,12641.15,3711.27,Compliant,None,39.76,42463.67,87.23,3.81,0.42,Yes,25.3,54.19,143.44,Tier 3
S00012,Supplier_12,Thailand,Electronics,85.59,1729.22,61.13,78143.15,5638.95,Compliant,ISO 45001,24.04,418022.07,71.67,3.24,0.54,No,5.82,35.15,149.73,Tier 3
S00013,Supplier_13,Malaysia,Electronics,77.68,2670.01,83.53,16331.14,1715.2,Partially Compliant,ISO 45001,7.76,28409.81,88.14,0.29,0.89,Yes,42.63,39.11,18.9,Tier 2
S00014,Supplier_14,Singapore,Plastics,93.71,790.85,46.21,26184.76,3311.09,Compliant,ISO 45001,27.41,332647.23,83.03,0.79,0.69,No,17.98,88.23,188.43,Tier 3
S00015,Supplier_15,Vietnam,Metals,77.27,1126.27,50.72,82131.27,1213.27,Partially Compliant,ISO 45001,37.79,207461.24,83.68,1.81,0.81,No,42.92,41.23,3.25,Tier 3
S00016,Supplier_16,Vietnam,Chemicals,42.25,3795.67,71.18,47186.32,6376.48,Partially Compliant,ISO 45001,67.44,298876.45,71.94,3.43,0.32,Yes,33.09,20.59,27.74,Tier 3
S00017,Supplier_17,Singapore,,91.77,3607.0,99.29,9782.97,8957.22,Partially Compliant,ISO 9001,67.03,174854.91,80.81,4.21,0.81,No,31.81,74.55,115.61,Tier 1
S00018,Supplier_18,India,Automotive,75.07,473.93,97.42,57807.78,8624.58,Partially Compliant,ISO 45001,87.12,12070.48,75.01,4.68,0.46,No,16.78,21.13,23.85,
S00019,Supplier_19,Thailand,Textiles,87.29,2862.5,94.51,86830.22,439.78,Partially Compliant,ISO 45001,73.82,106752.75,73.19,0.51,0.41,Yes,9.93,99.51,41.02,Tier 2
S00020,Supplier_20,Malaysia,FMCG,68.11,4280.03,31.31,46861.84,3440.1,Non-Compliant,ISO 9001,88.61,323309.21,79.77,4.74,0.48,No,11.42,7.55,11.51,Tier 3
S00021,Supplier_21,Thailand,Metals,87.45,1116.36,59.93,51835.64,6980.31,Non-Compliant,None,35.27,200393.92,77.05,2.3,0.84,Yes,47.64,69.03,194.67,Tier 2
S00022,Supplier_22,Indonesia,Metals,52.67,3500.6,64.72,65277.14,382.85,Non-Compliant,ISO 9001,5.19,86733.61,87.39,4.02,0.78,No,45.62,20.18,2.77,
S00023,Supplier_23,India,Metals,83.0,418.39,54.22,7654.75,5014.11,Compliant,ISO 9001,29.45,326482.13,78.34,1.17,0.81,Yes,16.8,95.49,166.07,Tier 2
S00024,Supplier_24,Vietnam,Metals,50.13,1587.3,42.52,27217.98,3026.0,Non-Compliant,None,16.78,438646.91,72.58,1.09,0.65,Yes,43.73,58.5,37.88,Tier 3
S00025,Supplier_25,Vietnam,FMCG,85.6,2736.54,73.68,81357.35,7330.09,Partially Compliant,ISO 14001,61.02,470236.15,77.47,0.36,0.99,Yes,9.25,21.48,65.64,Tier 2
S00026,Supplier_26,China,FMCG,84.21,321.71,58.22,61402.08,4007.51,Non-Compliant,ISO 14001,24.85,485307.41,88.39,0.24,0.86,Yes,29.35,40.17,188.82,Tier 3
S00027,Supplier_27,Indonesia,Plastics,88.9,2883.46,73.64,92736.32,2742.77,Compliant,ISO 14001,7.35,108432.51,86.25,0.43,0.72,No,31.64,31.96,93.77,Tier 3
S00028,Supplier_28,Malaysia,Plastics,68.71,3920.49,32.62,44542.69,6306.05,Partially Compliant,None,49.03,487446.17,93.12,3.69,0.68,No,35.88,17.39,132.02,Tier 3
S00029,Supplier_29,Indonesia,Electronics,66.4,1179.52,83.27,76254.85,4693.16,Non-Compliant,ISO 9001,35.56,17755.97,89.6,3.18,0.33,No,17.55,18.35,114.35,Tier 2
S00030,Supplier_30,,Automotive,67.71,4650.38,72.66,43745.9,4297.84,Partially Compliant,ISO 14001,87.15,388929.48,72.82,0.63,0.65,Yes,49.64,62.5,10.56,Tier 3
S00031,Supplier_31,India,Plastics,51.69,2262.59,66.25,32778.09,3296.21,Non-Compliant,ISO 45001,13.12,234375.38,103.82,4.88,0.5,No,35.55,69.92,165.01,Tier 3
S00032,Supplier_32,Vietnam,Metals,70.13,3855.99,75.09,1579.01,7300.73,Compliant,ISO 45001,68.57,389570.45,77.53,0.34,0.99,Yes,6.11,42.11,31.17,Tier 2
S00033,Supplier_33,Indonesia,Textiles,48.89,4573.77,83.24,84489.69,8598.05,Partially Compliant,None,26.61,45632.1,76.04,4.25,0.6,No,1.61,38.99,145.59,Tier 1
S00034,Supplier_34,Vietnam,Automotive,79.42,1559.19,38.73,62011.05,10279.48,Non-Compliant,,71.09,313043.68,91.92,2.43,0.53,Yes,14.58,30.54,118.53,Tier 1
S00035,Supplier_35,Vietnam,Electronics,70.36,2157.28,77.88,45330.02,4241.31,Partially Compliant,None,12.82,5291.76,76.89,4.6,0.85,No,2.24,80.13,149.98,Tier 3
S00036,Supplier_36,China,Plastics,94.31,2083.05,36.88,87915.66,8340.33,Non-Compliant,ISO 45001,46.43,410387.2,85.86,2.61,0.75,No,34.62,40.19,149.28,Tier 2
S00037,Supplier_37,Malaysia,Plastics,73.49,2446.02,57.7,97410.74,9044.92,Partially Compliant,ISO 9001,63.05,164095.52,79.17,0.67,0.9,No,1.57,13.5,57.54,Tier 2
S00038,Supplier_38,Vietnam,Metals,91.94,4013.81,61.59,91858.5,1917.03,Partially Compliant,ISO 14001,72.9,243334.6,82.87,0.53,0.89,No,30.17,36.31,66.46,Tier 1
S00039,Supplier_39,China,Electronics,50.85,901.91,67.63,89273.33,868.88,Non-Compliant,None,45.93,305281.67,82.96,1.85,0.78,No,29.46,5.74,137.87,Tier 1
S00040,Supplier_40,India,Textiles,45.19,3918.39,57.11,10579.96,10011.48,Partially Compliant,ISO 14001,89.1,440285.69,99.99,2.92,0.92,Yes,21.6,99.79,49.66,Tier 2
S00041,Supplier_41,Indonesia,Automotive,72.78,3515.54,89.95,33823.19,8013.72,Compliant,None,61.66,9825.73,88.98,2.73,0.89,Yes,43.29,38.39,10.22,Tier 3
S00042,Supplier_42,Singapore,Automotive,76.05,1319.96,82.66,80707.72,8663.18,Partially Compliant,None,55.56,241312.56,83.89,2.62,0.8,No,18.72,77.8,188.18,Tier 3
S00043,Supplier_43,,FMCG,42.23,513.92,62.86,88523.93,9294.58,Compliant,None,58.38,369164.55,87.24,1.73,0.9,Yes,30.03,33.0,150.6,Tier 2
S00044,Supplier_44,Thailand,Automotive,78.73,1074.92,83.07,36178.03,8774.03,Compliant,ISO 14001,6.64,24329.33,99.84,3.24,0.4,No,27.14,59.39,93.8,Tier 2
S00045,Supplier_45,Malaysia,Plastics,79.42,2564.26,N/A,47858.68,9957.05,Partially Compliant,None,85.49,307381.77,99.04,4.59,0.33,Yes,12.1,16.5,120.91,Tier 3
S00046,Supplier_46,China,Electronics,50.4,3651.04,84.72,30701.83,9007.32,Compliant,ISO 45001,20.53,380011.66,69.57,0.21,0.53,Yes,35.25,26.77,149.24,Tier 2
S00047,Supplier_47,Thailand,Metals,62.56,3633.02,49.42,23340.16,8562.93,Non-Compliant,ISO 9001,79.53,471292.84,93.2,2.23,0.95,No,50.01,85.75,132.65,Tier 1
S00048,Supplier_48,Vietnam,Automotive,84.53,3219.87,98.67,7134.22,1725.33,Compliant,None,46.25,121561.84,88.21,2.81,0.8,No,31.95,79.9,125.55,Tier 2
S00049,Supplier_49,Indonesia,FMCG,74.0,2186.71,76.74,36749.52,1624.83,Partially Compliant,None,85.44,23279.85,69.85,3.0,0.49,No,40.72,52.8,127.4,Tier 3
S00050,Supplier_50,Vietnam,Electronics,51.5,4595.9,92.5,85388.52,789.57,Compliant,ISO 9001,26.17,3802.3,73.12,1.59,0.5,Yes,15.71,12.67,189.33,Tier 1
S00051,Supplier_51,Thailand,Chemicals,94.56,4335.63,50.11,61732.48,3932.28,Partially Compliant,ISO 45001,40.04,44757.1,91.75,4.46,1.01,No,16.03,31.3,76.72,Tier 3
S00052,Supplier_52,China,Metals,92.45,1576.98,36.42,67372.62,8937.56,Compliant,ISO 9001,65.86,482602.79,79.59,3.66,0.86,No,0.41,7.79,85.6,Tier 1
S00053,Supplier_53,India,Textiles,76.48,3052.32,80.6,77147.59,4882.51,Partially Compliant,ISO 9001,9.86,197223.23,73.66,4.33,0.5,No,8.28,10.33,14.49,Tier 2
S00054,Supplier_54,China,Automotive,54.43,4568.84,31.37,36242.68,3245.16,Compliant,ISO 14001,38.22,447076.47,101.17,0.59,0.79,No,35.98,18.14,153.64,Tier 1
S00055,Supplier_55,Thailand,Metals,55.67,3281.42,61.67,94634.95,7352.01,Compliant,ISO 9001,71.46,347381.47,72.0,4.76,0.61,No,11.53,68.12,10.94,Tier 3
S00056,Supplier_56,Indonesia,Metals,51.93,4825.99,32.05,34997.09,1078.48,Non-Compliant,ISO 14001,14.09,301058.25,87.42,0.28,0.66,Yes,37.77,19.39,89.5,Tier 3
S00057,Supplier_57,China,Metals,78.68,2598.05,74.3,23424.26,5095.94,Compliant,ISO 45001,21.32,265570.5,91.86,2.2,0.37,No,4.51,63.02,137.66,Tier 2
S00058,Supplier_58,Vietnam,Automotive,43.7,2903.27,66.42,18628.0,4082.28,Compliant,ISO 14001,35.12,420385.21,70.16,0.86,0.98,Yes,1.99,23.37,105.95,Tier 1
S00059,Supplier_59,,Chemicals,46.15,1715.25,43.23,96663.21,5867.37,Partially Compliant,ISO 14001,9.96,120477.96,72.42,0.51,0.79,Yes,22.79,90.59,34.39,Tier 3
S00060,Supplier_60,Vietnam,FMCG,46.33,475.91,35.85,2011.34,1644.94,Compliant,None,33.11,295664.39,76.51,3.51,0.88,No,47.61,54.71,90.42,Tier 3
