Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
Malaysia,Asia-Pacific,3,Food & Beverage,61.732161778891104,33.8411900360541,44.37514680216675,56.6921221935151,0.3497,111.86,0.39,0.27,1,1,28,47079,0.849703375952331,0.056,79.16142459537174,0.2,86.13615984198759,0.69,74.44,2,5186,Moderate
USA,North America,2,Chemicals,63.082054123039,57.07547059987545,63.95558203328037,46.66904752249603,0.7616,995.88,0.6,0.24,0,0,31,1441,0.9548554304914282,0.029,46.79448407311274,1.36,90.53575219074081,0.2,79.33,0,3153,Moderate
Malaysia,Asia-Pacific,1,Electronics,41.846988459895776,44.937493050308284,90.2363140194367,65.9774626267926,0.2757,1089.29,0.9,0.53,2,0,14,47166,0.9427353271622039,0.033,42.599159426530136,0.31,86.2746734763942,0.46,88.11,1,5963,High
Japan,Asia-Pacific,3,Chemicals,67.86384070754663,86.51003674354772,52.675183132734865,58.031954884307524,0.8207,311.26,0.83,0.1,3,1,6,12820,0.8772133545338802,0.027,47.06261912247935,0.23,93.62259814127776,0.77,46.09,0,10812,Low
Malaysia,Asia-Pacific,1,Agriculture,78.03672765429347,85.6546911042699,79.74966265900645,68.33080651229153,0.5571,733.46,0.69,0.37,1,0,13,9158,0.8810862773460558,0.05,88.29837960037248,1.55,71.61537133498486,0.76,90.33,1,3689,Moderate
China,Asia-Pacific,2,Agriculture,63.44310537249664,41.474485493806334,46.786528538566785,54.44548542751753,0.7236,1093.18,0.88,0.21,1,0,10,35712,0.9503528209026318,0.035,33.63314365703834,1.06,77.02948125874359,0.56,55.58,1,2059,Moderate
Malaysia,Asia-Pacific,1,Agriculture,47.124676562033684,87.8131032253445,56.42291928764944,56.254080910387856,0.6417,153.79,0.69,0.32,1,0,5,29493,0.8746439037727757,0.049,80.4305720534743,1.42,55.77083127884433,0.55,56.03,1,6455,Moderate
China,Asia-Pacific,2,Chemicals,55.266819501373675,35.60085536418491,42.717126242510425,38.52314629225372,0.5788,223.72,0.51,0.19,1,0,5,45288,0.8510624573278814,0.047,51.788717948757665,1.68,77.64146826668787,0.48,86.53,1,7489,Moderate
India,Asia-Pacific,2,Agriculture,55.63522574961688,52.15585132368333,32.05433043446308,61.602125053617186,0.7923,978.7,0.49,0.38,1,1,22,30040,0.9774279806210099,0.03,51.05561792174079,0.2,66.63088469708697,0.8,63.75,1,8004,Moderate
Malaysia,Asia-Pacific,2,Electronics,75.55354601508391,93.34167753142836,49.782882981878096,91.68838390685174,0.9414,864.25,0.68,0.29,3,1,6,16128,0.8966106378702969,0.033,74.81544013079707,1.39,67.49312392705309,0.12,64.66,0,6104,Low
USA,North America,3,Agriculture,58.27944812492771,35.193066722240495,42.42816421026579,41.30002001399739,0.9236,1156.37,0.62,0.78,3,1,15,20866,0.942105317788233,0.032,76.31702145200494,1.68,91.6733061731256,0.88,56.18,2,6054,Moderate
Japan,Asia-Pacific,2,Agriculture,76.52874760188186,87.3280597675231,93.34647374327466,85.58870217099044,0.5157,1005.12,0.61,0.63,1,0,27,14353,0.7888533872863395,0.025,96.8259748779566,0.77,85.5848635351854,0.53,74.43,0,7525,Low
India,Asia-Pacific,2,Agriculture,75.5589581463169,88.11001909691076,79.49797230145914,62.47077262504998,0.8001,210.67,0.52,0.3,1,0,5,10209,0.9044242696414778,0.035,41.805288084710895,0.48,74.89512386746496,0.8,79.82,1,6158,Low
Japan,Asia-Pacific,2,Electronics,85.91845079677675,100.0,90.13739734422373,79.6389335780569,0.5619,593.44,0.57,0.2,0,0,6,10300,0.920392916857959,0.046,64.22109110126256,1.36,87.05011031823321,0.17,76.36,1,1684,Low
Indonesia,Asia-Pacific,3,Agriculture,57.32668381623306,43.51495490224994,35.41208731656858,67.47329763908144,0.3103,59.27,0.42,0.27,1,0,25,10132,0.9550734708231102,0.059,73.09245522876093,1.14,84.40397963980807,0.46,69.79,2,5265,Moderate
