Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification
Brazil,South America,3,Agriculture,74.85741389439644,74.12696010382318,75.53239001743124,77.84678420779817,0.8677,1454.71,0.42,0.52,0,0,41,5416,0.8560741108808878,0.052,72.43086256391972,0.8,56.355531575904095,0.2,76.96,0,9239,Low
Brazil,South America,2,Agriculture,50.91927218689784,47.33361003575283,54.446054886533396,44.44199965826288,0.1571,197.78,0.43,0.49,2,0,8,29831,0.8555529499417043,0.029,76.18627092652598,1.05,72.3093265719717,0.72,86.55,1,10748,Moderate
China,Asia-Pacific,2,Agriculture,55.474144627334226,23.98790168891802,54.594376925524344,43.968152761928394,0.8994,513.52,0.62,0.45,2,0,40,14947,0.9337762649061694,0.033,70.4962285565409,0.31,77.52006119538841,0.7,71.73,0,9371,Moderate
USA,North America,2,Agriculture,56.676436580812144,63.31457192332099,67.88747951524196,39.28489386738835,0.6762,88.49,0.55,0.42,2,0,26,32145,0.8371766441178626,0.037,60.718906536674,0.96,77.14590939998442,0.74,81.55,1,7948,Moderate
Malaysia,Asia-Pacific,2,Agriculture,63.76360793009304,53.686097618067755,64.76868482628431,62.69267421185502,0.9069,151.47,0.77,0.51,2,0,13,27637,0.8807797285065184,0.042,78.33853231393893,0.7,46.17565509231681,0.6,81.12,1,10621,Moderate
Indonesia,Asia-Pacific,2,Agriculture,67.35592677038515,76.42882967689906,70.27389666126024,59.964873020201026,0.7916,145.12,0.6,0.51,2,1,22,9804,0.8864516837557816,0.031,84.36306075158039,0.66,85.11197831056958,0.67,81.64,2,9986,Moderate
Japan,Asia-Pacific,3,Agriculture,74.25107799519645,68.51106759027545,77.44396454823317,82.40804538454562,0.2663,194.74,0.41,0.28,3,0,37,46184,0.9325852520319924,0.041,77.91787700313034,1.15,71.53246282354512,0.64,84.77,1,9342,Low
USA,South America,2,Agriculture,57.34087890947072,65.51221413867061,65.0229741069139,47.48382172168405,0.7465,116.53,0.53,0.61,1,0,48,36252,0.9700451229378317,0.026,97.91679856804376,1.02,55.4074590265802,0.15,83.14,1,9394,Moderate
Malaysia,Asia-Pacific,2,Agriculture,52.60876140552837,43.93921479508455,63.14054574210652,50.81463901411596,0.8574,1028.54,0.62,0.61,2,0,40,16174,0.9340578359111829,0.026,74.38952412744953,0.49,81.85655776999657,0.82,76.56,1,8467,Moderate
Brazil,South America,2,Agriculture,76.4972301228212,72.07277755704457,78.64005026013277,77.62574240613347,0.659,1274.66,0.39,0.61,2,0,12,32034,0.943846844983184,0.015,81.80784818795267,0.92,90.30727233194213,0.71,68.49,0,9943,Low
