Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Financial_Stability_Score,Cost_Index,Labour_Compliance_Score,Diversity_Index,Supplier_Audit_Score,Incident_History_Count,Logistics_Distance_km,Risk_Classification,Supplier_ID,Commodity_ID,Supplier_Name,Commodity_Name
China,Asia-Pacific,3,Food & Beverage,66.20981745990962,52.80200132883038,65.3842253619327,79.31000191397493,0.3379,1000.09,0.56,0.52,3,1,43,26503,0.8032391713089657,0.017,65.79576841059776,0.79,71.75428983576528,0.66,72.9,1,8687,Low,SYN_SUP_00001,SYN_COM_00001,Synthetic Supplier 1,Synthetic Commodity 1
usa,Asia-Pacific,2,Agriculture,67.33419417413234,64.00198496389642,72.11844012652126,68.41203747584771,0.925,1345.59,0.65,0.25,2,1,9,5046,0.9410054006950443,0.011,54.25381796964989,0.62,62.99074873314692,0.83,84.63,1,8766,Moderate,SYN_SUP_00002,SYN_COM_00002,Synthetic Supplier 2,Synthetic Commodity 2
Brazil,South America,2,Electronics,63.064453635286995,54.83122170616811,67.09255098850242,52.849717867485815,0.8849,101.43,0.73,0.57,0,1,19,46890,0.9324448956814968,0.04,81.3413142517252,1.15,50.75190184972257,0.41,74.11,1,9560,Moderate,SYN_SUP_00003,SYN_COM_00003,Synthetic Supplier 3,Synthetic Commodity 3
Indonesia,Asia-Pacific,2,Agriculture,54.4928390149693,52.36063563664991,50.581782195327534,43.20224355656571,0.3947,1047.11,0.69,0.42,0,0,36,24519,0.8419888962792094,0.032,88.42687921352672,0.39,61.83544130535637,0.85,79.39,1,2841,Moderate,SYN_SUP_00004,SYN_COM_00004,Synthetic Supplier 4,Synthetic Commodity 4
Brazil,South America,2,Metals,57.685721617896405,59.81153561965023,38.4412244129975,65.57283346174584,0.5892,196.85,0.72,0.4,2,1,39,7090,0.9356559948594121,0.027,84.18443715343844,1.23,64.60385450669237,0.47,60.52,2,1297,Moderate,SYN_SUP_00005,SYN_COM_00005,Synthetic Supplier 5,Synthetic Commodity 5
japan,Asia-Pacific,3,Electronics,81.44324849257404,60.06073535649364,60.62324479341178,77.49882586954121,0.7076,826.52,0.73,0.63,3,1,5,29765,0.8819737194526465,0.017,77.38844808069203,0.94,70.93352909490706,0.72,50.18,1,7195,Moderate,SYN_SUP_00006,SYN_COM_00006,Synthetic Supplier 6,Synthetic Commodity 6
Brazil,North America,2,Agriculture,61.88159473756422,84.11016743427204,57.63740334885463,55.207264921600384,0.141,160.33,0.31,0.19,0,1,25,5767,0.8439175769205861,0.047,78.95920579269419,1.4,76.19868972181787,0.22,76.96,0,1104,Moderate,SYN_SUP_00007,SYN_COM_00007,Synthetic Supplier 7,Synthetic Commodity 7
Brazil,South America,3,Electronics,56.26623586133048,60.562208328332105,52.455575030483224,33.47771015331168,0.5468,919.66,0.49,0.68,0,1,14,21593,0.8911839972006411,0.053,84.1062389700366,1.4,83.62711955748563,0.32,71.55,3,6746,Moderate,SYN_SUP_00008,SYN_COM_00008,Synthetic Supplier 8,Synthetic Commodity 8
Japan,Asia-Pacific,3,Agriculture,37.365,28.86947306361538,49.11519767872819,51.63233012581559,0.4959,979.73,0.65,0.43,2,0,25,10804,0.8460462299706286,0.009,83.81234686734248,0.87,55.78301451982581,0.56,70.84,3,11495,High,SYN_SUP_00009,SYN_COM_00009,Synthetic Supplier 9,Synthetic Commodity 9
India,Asia-Pacific,3,Agriculture,81.67851216503387,76.896612808984,78.75168657768431,73.59693764290438,0.5291,1000.86,0.92,0.82,3,1,14,30340,0.8850007123339623,0.049,92.75323789936674,0.95,89.36743705712264,0.34,52.71,0,8525,Low,SYN_SUP_00010,SYN_COM_00010,Synthetic Supplier 10,Synthetic Commodity 10
India,Asia-Pacific,1,Food & Beverage,78.68669170828935,61.70572887368952,81.2413501895255,89.14475608731613,0.2503,1043.28,0.38,0.47,3,0,42,28997,0.9318178175468922,0.047,70.29962276221075,1.13,76.0388167825284,0.82,66.07,1,2414,Low,SYN_SUP_00011,SYN_COM_00011,Synthetic Supplier 11,Synthetic Commodity 11
Japan,Asia-Pacific,2,Metals,52.95321959476965,78.38916281117426,55.974994334099016,46.421020089842095,0.3833,211.95,0.69,0.36,0,1,30,18935,0.8659548452208444,0.042,72.81459361655392,1.17,68.15934211576023,0.67,80.04,1,10510,Moderate,SYN_SUP_00012,SYN_COM_00012,Synthetic Supplier 12,Synthetic Commodity 12
India,Asia-Pacific,3,Electronics,67.06037783589308,72.38764449548611,61.783538401239326,73.50256065554805,0.4718,1104.33,0.49,0.38,3,0,18,17507,0.8740224436961773,0.038,99.25221671680195,0.81,62.72707970380496,0.81,60.74,1,7513,Moderate,SYN_SUP_00013,SYN_COM_00013,Synthetic Supplier 13,Synthetic Commodity 13
Japan,Asia-Pacific,1,Agriculture,69.06010784615229,77.59996414522264,88.24099824251583,69.7692635285267,0.7862,1025.3,0.45,0.12,1,1,44,33479,0.9221918642228284,0.04,74.79203328776602,0.83,77.85209122432887,0.81,71.9,0,2843,Low,SYN_SUP_00014,SYN_COM_00014,Synthetic Supplier 14,Synthetic Commodity 14
Indonesia,Asia-Pacific,3,Chemicals,72.58974472408447,62.56180062736368,65.3822288649934,70.00919450390361,0.6522,1125.05,0.72,0.56,0,1,16,12182,0.8747990447738374,0.028,61.179667792525755,1.5,92.0168803228527,0.73,53.33,1,1022,Moderate,SYN_SUP_00015,SYN_COM_00015,Synthetic Supplier 15,Synthetic Commodity 15
Brazil,South America,3,Agriculture,60.68864250624296,64.12436276481003,61.8815173267861,60.74376010688994,0.8686,760.25,0.55,0.44,0,1,46,20799,0.9029184411511595,0.027,66.81200102464113,1.21,74.24701855922137,0.51,72.46,2,3589,Moderate,SYN_SUP_00016,SYN_COM_00016,Synthetic Supplier 16,Synthetic Commodity 16
