SC_ID,Supplier_Name,Commodity_Name,Year,Month,Country,Region,Supplier_Tier,Industry_Sector,ESG_Score,Environmental_Score,Social_Score,Governance_Score,Carbon_Emission_Intensity,GHG_Scope1_Intensity,GHG_Scope2_Intensity,GHG_Scope3_Intensity,Water_Intensity,Waste_Management_Efficiency,Renewable_Energy_Usage,Compliance_Level,Sustainability_Report_Availability,Certifications_Active,Lead_Time_Days,Production_Capacity,On_Time_Delivery_Rate,Defect_Rate,Incident_History_Count,Labour_Compliance_Score,Diversity_Index,Financial_Stability_Score,Freight_Cost,Cost_Index,Commodity_Price_Index,Commodity_Demand,Trade_Volume,Logistics_Distance_km,Risk_Classification
SC0000043,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,January,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,83.0,76.87,85.11,80.35,0.1144,0.937,0.883,2.55,213.5,0.44,0.182,2,1,,54,5091,0.91,0.043,1,91.16,0.319,73.96,9515.11,1.383,1.087,44390,21545,2144,Moderate
SC0000258,Nippon Steel Corporation,Steel plates,2019,February,coils,East Asia and Pacific,1,Japan,68.73,74.14,65.76,63.44,0.1482,1.17,1.127,2.031,200.47,0.712,0.751,3,1,,28,14338,0.988,0.0,0,78.06,0.231,72.72,16844.35,1.136,0.849,24697,17176,1105,Moderate
SC0000286,Siam Cement Group (SCG),Cement,2019,February,chemicals,East Asia and Pacific,1,Thailand,59.01,62.8,65.81,52.46,0.1488,2.781,0.475,1.868,69.86,0.609,0.779,2,1,ISO 9001,31,9695,0.982,0.062,0,85.65,0.42,87.16,20656.12,0.87,1.186,16848,2981,1679,Moderate
SC0000289,Nippon Steel Corporation,Steel plates,2019,February,coils,East Asia and Pacific,1,Japan,82.93,81.15,83.39,84.72,0.0823,2.066,0.465,1.814,207.16,0.812,0.226,1,1,SA8000,12,10230,0.909,0.005,0,86.13,0.051,64.8,8922.25,1.0,1.144,44051,19096,6635,Moderate
SC0000430,Nippon Steel Corporation,Steel plates,2019,February,coils,East Asia and Pacific,1,Japan,73.92,73.63,71.91,72.25,0.0913,3.874,0.812,4.255,137.27,0.422,0.322,3,1,ISO 14001,18,13024,0.857,0.061,0,97.89,0.703,73.93,10215.86,1.49,1.166,26832,13241,4610,Moderate
SC0000462,Furukawa Electric Co.,Ltd.,2019,February,Electrical wiring and copper cables,East Asia and Pacific,1,1,73.72,73.22,72.57,75.88,0.0244,1.384,0.04,4.606,126.43,0.923,0.486,2,1,ISO 9001,47,17056,0.876,0.021,0,91.21,0.531,80.81,27139.23,0.692,0.846,2920,15720,4022,Moderate
SC0000470,MonÃ³meros Colombo Venezolanos,Fertilizers and petrochemical derivatives,2019,February,Venezuela/Colombia links,Latin America and Caribbean,2,Agrochemicals,70.67,70.03,75.75,62.17,0.1453,2.2,1.092,2.314,96.08,0.606,0.877,2,0,ISO 9001; ISO 14001,19,4141,0.813,0.046,1,100.0,0.038,63.56,14066.12,0.806,0.731,24588,20782,3681,Moderate
SC0000536,Furukawa Electric Co.,Ltd.,2019,March,Electrical wiring and copper cables,East Asia and Pacific,1,1,78.96,71.66,81.61,82.25,0.0005,1.851,0.728,2.577,146.72,0.458,0.29,3,1,Fairtrade,8,22772,0.886,0.005,1,100.0,0.381,71.19,16568.13,1.516,0.89,48474,14735,3347,Moderate
SC0000663,Nippon Steel Corporation,Steel plates,2019,March,coils,East Asia and Pacific,1,Japan,55.6,52.43,59.76,51.44,0.0954,1.545,0.216,1.318,139.58,0.764,0.229,2,1,FSSC 22000; ISO 9001,15,7036,0.908,0.038,0,95.87,0.099,52.7,1134.53,1.315,1.245,41697,14153,4848,Moderate
SC0000665,BHP Group,Nickel,2019,March,iron ore,East Asia and Pacific,1,Australia,74.5,76.24,72.44,75.89,0.1084,0.711,1.314,3.169,244.87,0.613,0.151,1,1,ISO 9001,36,19867,0.908,0.011,0,78.4,0.402,71.08,24444.31,1.213,0.634,13524,11557,2138,Moderate
SC0000694,Rio Tinto Group,Iron ore,2019,March,aluminium,East Asia and Pacific,1,Australia,64.96,69.82,63.36,67.43,0.0114,0.726,0.01,1.997,108.92,0.546,0.604,2,0,,31,14987,0.923,0.042,0,78.62,0.142,68.39,4957.53,1.17,0.896,9455,12022,3526,Moderate
SC0000726,Nippon Steel Corporation,Steel plates,2019,April,coils,East Asia and Pacific,1,Japan,84.32,78.13,87.4,90.75,0.0411,2.055,1.06,1.907,162.47,0.422,0.456,0,1,,23,10771,0.875,0.003,0,78.55,0.226,81.12,14784.69,1.153,0.926,40672,11467,3796,Moderate
SC0000744,PT Pupuk Indonesia,Fertilizers (urea,2019,April,ammonia),East Asia and Pacific,1,1,64.19,67.51,69.02,55.0,0.1641,3.83,0.484,1.8,186.02,0.408,0.356,2,1,,17,10055,0.803,0.022,0,80.31,0.403,76.18,31036.23,1.612,1.165,23876,6805,1070,Moderate
SC0000796,Siam Cement Group (SCG),Cement,2019,April,chemicals,East Asia and Pacific,1,Thailand,73.75,77.45,74.11,74.13,0.1966,2.203,1.198,0.859,121.23,0.77,0.0,1,1,ISO 9001,30,3603,0.965,0.027,1,74.7,0.25,73.85,18762.18,1.224,0.424,10262,4820,3934,Moderate
